# distance [deg], low_sys_1 [cm-2 s-1], low_sys_2, mid_sys_1, mid_sys_2, high_sys_1, high_sys_2
-1.500000000000000000e+00,0.000000000000000000e+00,1.260874398951244928e-18,0.000000000000000000e+00,7.730761848768794788e-21,0.000000000000000000e+00,1.490250543091641962e-153
-1.493987975951903913e+00,0.000000000000000000e+00,1.449036012671549856e-18,0.000000000000000000e+00,8.838740625687690385e-21,0.000000000000000000e+00,1.528184236568162888e-153
-1.487975951903807603e+00,0.000000000000000000e+00,1.649936761948710451e-18,0.000000000000000000e+00,1.001576312183382095e-20,0.000000000000000000e+00,1.565089671700360606e-153
-1.481963927855711516e+00,0.000000000000000000e+00,1.870357603743088042e-18,0.000000000000000000e+00,1.129596868794391957e-20,0.000000000000000000e+00,1.600664804788381929e-153
-1.475951903807615206e+00,0.000000000000000000e+00,2.111820934642293870e-18,0.000000000000000000e+00,1.268672068480947662e-20,0.000000000000000000e+00,1.634649461116086849e-153
-1.469939879759519119e+00,0.000000000000000000e+00,2.376011913974144192e-18,0.000000000000000000e+00,1.419766524885559244e-20,0.000000000000000000e+00,1.666828756204849073e-153
-1.463927855711422810e+00,0.000000000000000000e+00,2.667454893806021178e-18,0.000000000000000000e+00,1.585482899188152373e-20,0.000000000000000000e+00,1.697034085304322660e-153
-1.457915831663326722e+00,0.000000000000000000e+00,2.989756336620719021e-18,0.000000000000000000e+00,1.767781301799148758e-20,0.000000000000000000e+00,1.725145241706746746e-153
-1.451903807615230413e+00,0.000000000000000000e+00,3.341284949580521941e-18,0.000000000000000000e+00,1.966233216665354342e-20,0.000000000000000000e+00,1.751087745818511892e-153
-1.445891783567134325e+00,-2.618530533904983562e-21,3.723588302604157865e-18,-1.580595455570386947e-23,2.182170791991990440e-20,-4.753855042915345545e-154,1.300923159937303029e-153
-1.439879759519038016e+00,-3.551095203074995429e-21,4.139541575462438014e-18,-2.153424454185798132e-23,2.417363559674373975e-20,-5.075571579536772850e-154,1.291068397200307928e-153
-1.433867735470941929e+00,-4.789134643009298944e-21,4.590804828064552611e-18,-2.919702943472051260e-23,2.673590741031382648e-20,-5.393286693184509819e-154,1.279928291761624593e-153
-1.427855711422845619e+00,-6.402538048371303118e-21,5.081841806945296693e-18,-3.930287882290290402e-23,2.955949382490193799e-20,-5.704528182765165550e-154,1.267918914569987563e-153
-1.421843687374749532e+00,-8.506410100121627134e-21,5.615576500971637346e-18,-5.265703252791604656e-23,3.271254112766376338e-20,-6.006725138136867392e-154,1.255488873428765748e-153
-1.415831663326653223e+00,-1.125910356026551404e-20,6.187645512442123975e-18,-6.991245906080634039e-23,3.616733068247663567e-20,-6.298021059587918743e-154,1.243100201704182304e-153
-1.409819639278557135e+00,-1.366387177711917372e-20,6.798658984444241369e-18,-8.942283010939432648e-23,3.997525303831381716e-20,-3.886777156592076826e-154,1.231392051781287028e-153
-1.403807615230460826e+00,-1.785178864973556002e-20,7.448977580168889678e-18,-1.163898132868997396e-22,4.416528404995601941e-20,-4.016465688259770640e-154,1.221053702820138066e-153
-1.397795591182364738e+00,-2.299982664295205052e-20,8.138610150518161771e-18,-1.525020398317984593e-22,4.879406569365574890e-20,-4.137789659062490360e-154,5.596901747583171636e-152
-1.391783567134268651e+00,-2.929731770906037703e-20,8.870477578340007830e-18,-1.959676709396509904e-22,5.396549295224987493e-20,-4.250613036890384158e-154,1.912887681695666821e-151
