# distance [pc], velocity profile
0.000000000000000000e+00,1.000000000000000000e+00
1.010101010101010166e+00,9.925603607866601008e-01
2.020202020202020332e+00,9.851207215733202016e-01
3.030303030303030276e+00,9.777253370163051516e-01
4.040404040404040664e+00,9.704937326423132005e-01
5.050505050505051052e+00,9.632621282683212494e-01
6.060606060606060552e+00,9.509679183777135503e-01
7.070707070707070940e+00,9.318331511185250493e-01
8.080808080808081328e+00,9.126983838593364373e-01
9.090909090909091717e+00,8.608395036915099663e-01
1.010101010101010210e+01,7.903969166338745689e-01
1.111111111111111249e+01,7.199543295762391715e-01
1.212121212121212110e+01,6.764394386232390755e-01
1.313131313131313149e+01,6.376689763407752398e-01
1.414141414141414188e+01,5.989802835561900407e-01
1.515151515151515227e+01,5.615173141177968175e-01
1.616161616161616266e+01,5.240543446794038163e-01
1.717171717171717304e+01,4.812349767269741285e-01
1.818181818181818343e+01,4.242817640443664051e-01
1.919191919191919382e+01,3.673285513617587927e-01
2.020202020202020421e+01,3.209425844619749890e-01
2.121212121212121460e+01,2.856850087706243047e-01
2.222222222222222499e+01,2.504274330792735093e-01
2.323232323232323537e+01,2.277975679812948295e-01
2.424242424242424221e+01,2.105982523614799151e-01
2.525252525252525260e+01,1.933989367416648897e-01
2.626262626262626299e+01,1.783018340928953227e-01
2.727272727272727337e+01,1.634089533110088255e-01
2.828282828282828376e+01,1.491590958344951034e-01
2.929292929292929415e+01,1.394682117516083397e-01
3.030303030303030454e+01,1.297773276687215482e-01
3.131313131313131493e+01,1.222854552070057749e-01
3.232323232323232531e+01,1.191442052072689411e-01
3.333333333333333570e+01,1.160029552075320936e-01
3.434343434343434609e+01,1.130253896335480235e-01
3.535353535353535648e+01,1.101829083696694717e-01
3.636363636363636687e+01,1.073404271057908921e-01
3.737373737373737725e+01,1.066595020405501221e-01
3.838383838383838764e+01,1.066613002353375278e-01
3.939393939393939803e+01,1.066630984301249196e-01
4.040404040404040842e+01,1.066648629284160377e-01
4.141414141414141881e+01,1.066666264580418966e-01
4.242424242424242919e+01,1.069041205388988891e-01
4.343434343434343958e+01,1.081860811914761716e-01
4.444444444444444997e+01,1.094680418440534403e-01
4.545454545454546036e+01,1.102420812561526603e-01
4.646464646464647075e+01,1.102420812561526603e-01
4.747474747474748114e+01,1.102420812561526603e-01
4.848484848484848442e+01,1.102420812561526603e-01
4.949494949494949481e+01,1.102420812561526603e-01
5.050505050505050519e+01,1.102420812561526603e-01
5.151515151515151558e+01,1.102420812561526603e-01
5.252525252525252597e+01,1.102420812561526603e-01
5.353535353535353636e+01,1.102420812561526603e-01
5.454545454545454675e+01,1.102420812561526603e-01
5.555555555555555713e+01,1.102420812561526603e-01
5.656565656565656752e+01,1.102420812561526603e-01
5.757575757575757791e+01,1.102420812561526603e-01
5.858585858585858830e+01,1.102420812561526603e-01
5.959595959595959869e+01,1.102420812561526603e-01
6.060606060606060908e+01,1.102420812561526603e-01
6.161616161616161946e+01,1.102420812561526603e-01
6.262626262626262985e+01,1.102420812561526603e-01
6.363636363636364024e+01,1.102420812561526603e-01
6.464646464646465063e+01,1.102420812561526603e-01
6.565656565656566102e+01,1.102420812561526603e-01
6.666666666666667140e+01,1.102420812561526603e-01
6.767676767676768179e+01,1.102420812561526603e-01
6.868686868686869218e+01,1.102420812561526603e-01
6.969696969696970257e+01,1.102420812561526603e-01
7.070707070707071296e+01,1.102420812561526603e-01
7.171717171717172334e+01,1.102420812561526603e-01
7.272727272727273373e+01,1.102420812561526603e-01
7.373737373737374412e+01,1.102420812561526603e-01
7.474747474747475451e+01,1.102420812561526603e-01
7.575757575757576490e+01,1.102420812561526603e-01
7.676767676767677528e+01,1.102420812561526603e-01
7.777777777777778567e+01,1.102420812561526603e-01
7.878787878787879606e+01,1.102420812561526603e-01
7.979797979797980645e+01,1.102420812561526603e-01
8.080808080808081684e+01,1.102420812561526603e-01
8.181818181818182723e+01,1.102420812561526603e-01
8.282828282828283761e+01,1.102420812561526603e-01
8.383838383838384800e+01,1.102420812561526603e-01
8.484848484848485839e+01,1.102420812561526603e-01
8.585858585858586878e+01,1.102420812561526603e-01
8.686868686868687917e+01,1.102420812561526603e-01
8.787878787878788955e+01,1.102420812561526603e-01
8.888888888888889994e+01,1.102420812561526603e-01
8.989898989898991033e+01,1.102420812561526603e-01
9.090909090909092072e+01,1.102420812561526603e-01
9.191919191919193111e+01,1.102420812561526603e-01
9.292929292929294149e+01,1.102420812561526603e-01
9.393939393939395188e+01,1.102420812561526603e-01
9.494949494949496227e+01,1.102420812561526603e-01
9.595959595959597266e+01,1.102420812561526603e-01
9.696969696969696884e+01,1.102420812561526603e-01
9.797979797979797922e+01,1.102420812561526603e-01
9.898989898989898961e+01,1.102420812561526603e-01
1.000000000000000000e+02,1.102420812561526603e-01
