# distance [pc], velocity profile
0.000000000000000000e+00,1.000000000000000000e+00
1.010101010101010166e+00,9.846760550466939765e-01
2.020202020202020332e+00,9.693521100933879531e-01
3.030303030303030276e+00,9.540281651400818186e-01
4.040404040404040664e+00,9.423049495603734727e-01
5.050505050505051052e+00,9.351030082894991047e-01
6.060606060606060552e+00,9.279010670186248477e-01
7.070707070707070940e+00,9.206991257477505908e-01
8.080808080808081328e+00,8.071793517821476138e-01
9.090909090909091717e+00,6.799811774568678135e-01
1.010101010101010210e+01,5.527830031315880133e-01
1.111111111111111249e+01,4.538594804060550048e-01
1.212121212121212110e+01,4.127996233719911645e-01
1.313131313131313149e+01,3.717397663379273798e-01
1.414141414141414188e+01,3.306799093038635950e-01
1.515151515151515227e+01,2.880123269314390777e-01
1.616161616161616266e+01,2.448649769945686339e-01
1.717171717171717304e+01,2.017176270576980790e-01
1.818181818181818343e+01,1.650283602732375288e-01
1.919191919191919382e+01,1.523633470603502627e-01
2.020202020202020421e+01,1.396983338474630243e-01
2.121212121212121460e+01,1.270333206345757859e-01
2.222222222222222499e+01,1.214458657781938705e-01
2.323232323232323537e+01,1.196130498930336461e-01
2.424242424242424221e+01,1.177802340078734494e-01
2.525252525252525260e+01,1.122369465897885416e-01
2.626262626262626299e+01,7.124988633494372392e-02
2.727272727272727337e+01,4.261457183336329890e-02
2.828282828282828376e+01,4.066212488569035527e-02
2.929292929292929415e+01,3.950167630298064003e-02
3.030303030303030454e+01,3.902671827972503671e-02
3.131313131313131493e+01,3.855176025646944032e-02
3.232323232323232531e+01,3.807680223321384394e-02
3.333333333333333570e+01,3.823619808606652792e-02
3.434343434343434609e+01,3.841037013504962350e-02
3.535353535353535648e+01,3.858454218403271907e-02
3.636363636363636687e+01,3.894191008081711314e-02
3.737373737373737725e+01,3.955397065889527247e-02
3.838383838383838764e+01,4.016603123697343181e-02
3.939393939393939803e+01,4.077809181505159114e-02
4.040404040404040842e+01,4.086412874569952253e-02
4.141414141414141881e+01,4.086412874569952253e-02
4.242424242424242919e+01,4.086412874569952253e-02
4.343434343434343958e+01,4.086412874569952253e-02
4.444444444444444997e+01,4.086412874569952253e-02
4.545454545454546036e+01,4.086412874569952253e-02
4.646464646464647075e+01,4.086412874569952253e-02
4.747474747474748114e+01,4.086412874569952253e-02
4.848484848484848442e+01,4.086412874569952253e-02
4.949494949494949481e+01,4.086412874569952253e-02
5.050505050505050519e+01,4.086412874569952253e-02
5.151515151515151558e+01,4.086412874569952253e-02
5.252525252525252597e+01,4.086412874569952253e-02
5.353535353535353636e+01,4.086412874569952253e-02
5.454545454545454675e+01,4.086412874569952253e-02
5.555555555555555713e+01,4.086412874569952253e-02
5.656565656565656752e+01,4.086412874569952253e-02
5.757575757575757791e+01,4.086412874569952253e-02
5.858585858585858830e+01,4.086412874569952253e-02
5.959595959595959869e+01,4.086412874569952253e-02
6.060606060606060908e+01,4.086412874569952253e-02
6.161616161616161946e+01,4.086412874569952253e-02
6.262626262626262985e+01,4.086412874569952253e-02
6.363636363636364024e+01,4.086412874569952253e-02
6.464646464646465063e+01,4.086412874569952253e-02
6.565656565656566102e+01,4.086412874569952253e-02
6.666666666666667140e+01,4.086412874569952253e-02
6.767676767676768179e+01,4.086412874569952253e-02
6.868686868686869218e+01,4.086412874569952253e-02
6.969696969696970257e+01,4.086412874569952253e-02
7.070707070707071296e+01,4.086412874569952253e-02
7.171717171717172334e+01,4.086412874569952253e-02
7.272727272727273373e+01,4.086412874569952253e-02
7.373737373737374412e+01,4.086412874569952253e-02
7.474747474747475451e+01,4.086412874569952253e-02
7.575757575757576490e+01,4.086412874569952253e-02
7.676767676767677528e+01,4.086412874569952253e-02
7.777777777777778567e+01,4.086412874569952253e-02
7.878787878787879606e+01,4.086412874569952253e-02
7.979797979797980645e+01,4.086412874569952253e-02
8.080808080808081684e+01,4.086412874569952253e-02
8.181818181818182723e+01,4.086412874569952253e-02
8.282828282828283761e+01,4.086412874569952253e-02
8.383838383838384800e+01,4.086412874569952253e-02
8.484848484848485839e+01,4.086412874569952253e-02
8.585858585858586878e+01,4.086412874569952253e-02
8.686868686868687917e+01,4.086412874569952253e-02
8.787878787878788955e+01,4.086412874569952253e-02
8.888888888888889994e+01,4.086412874569952253e-02
8.989898989898991033e+01,4.086412874569952253e-02
9.090909090909092072e+01,4.086412874569952253e-02
9.191919191919193111e+01,4.086412874569952253e-02
9.292929292929294149e+01,4.086412874569952253e-02
9.393939393939395188e+01,4.086412874569952253e-02
9.494949494949496227e+01,4.086412874569952253e-02
9.595959595959597266e+01,4.086412874569952253e-02
9.696969696969696884e+01,4.086412874569952253e-02
9.797979797979797922e+01,4.086412874569952253e-02
9.898989898989898961e+01,4.086412874569952253e-02
1.000000000000000000e+02,4.086412874569952253e-02
